199,2232,1342,274,4125,663,55961,0,281,2376
199,2221,733,274,3831,467,54906,0,282,2172
199,2231,683,275,3575,304,54429,0,285,2086
199,2263,713,273,3313,152,52316,0,286,1815
199,2265,689,274,3291,174,51262,0,288,1562
198,2276,669,274,3380,181,51480,0,285,1370
199,2318,590,275,3480,144,52679,0,282,1273
199,2328,567,274,3734,142,53272,0,282,1164
199,2319,586,275,3924,269,54553,56,284,1061
199,2308,966,275,4252,256,55273,335,286,1019
199,2323,1465,275,4662,508,55556,847,284,970
199,2309,1402,274,4944,741,55838,1235,284,928
199,2271,1340,274,4981,1256,56225,1362,281,889
199,2263,1284,273,4793,1420,55547,1370,281,892
199,2281,1299,274,4693,624,55353,1142,282,895
199,2260,1353,275,4574,493,55036,681,281,896
197,2290,1635,275,4624,551,55718,229,279,890
193,2333,1826,275,4926,1730,56869,37,279,920
193,2358,1668,275,5515,4598,57271,0,279,884
196,2343,1756,275,5677,5327,57530,0,278,901
197,2371,1722,274,5468,3517,57355,0,280,951
198,2352,1781,274,5268,1948,57033,0,278,957
198,2357,1710,275,5356,2337,56847,0,274,1005
197,2366,1637,275,5445,2140,56602,0,278,982
197,2435,1484,261,5271,819,56499,0,278,1057
197,2451,1229,261,5116,714,57024,0,279,1048
198,2456,1179,262,5024,624,57350,0,279,1010
199,2481,1121,261,4883,515,55512,0,279,947
199,2654,1097,261,4819,481,54950,0,278,821
199,3006,1533,262,4885,746,56141,0,275,760
199,3912,2224,274,5121,1773,57792,0,274,731
199,5527,2822,273,5624,3577,58243,0,275,825
198,6149,2936,274,5862,3751,58628,64,272,848
198,6389,3357,272,5940,3084,58680,371,270,796
198,6509,3310,272,5962,2928,58682,949,271,702
198,6248,3309,272,6131,2875,58697,1436,271,576
199,6447,3201,273,6004,2916,58645,1609,272,515
198,6204,3137,273,5779,2521,58636,1582,272,476
198,6130,3310,275,5654,2574,58727,1325,271,436
201,6035,3275,273,5539,1955,58433,819,271,429
201,6128,3339,274,5506,1914,58535,278,277,469
200,6514,3358,274,5960,6020,58676,41,277,546
203,6588,3433,273,6345,7334,58779,0,277,602
205,6506,3415,273,6420,7031,58965,0,274,610
205,6452,2883,272,6024,4701,58920,0,275,598
205,5672,2845,261,5629,2156,58842,0,269,623
205,5030,2776,261,5631,2898,58625,0,264,678
205,4664,2744,261,5691,3080,58490,0,266,729
205,3677,2871,246,5412,1707,58852,0,264,736
205,3434,2948,245,5214,1023,58876,0,262,739
205,3296,2585,246,5154,928,58745,0,258,736
205,3228,2260,244,5099,687,58219,0,260,753
205,3240,2170,246,4982,596,57933,0,259,754
205,3443,2779,247,4961,1077,58713,0,258,823
205,4485,3231,247,5155,2199,58980,0,256,986
205,5876,3213,245,5580,4474,59216,0,257,1114
204,6537,3195,246,5857,4896,59748,62,255,1120
202,6570,3203,247,6005,5571,60088,350,248,1110
201,6540,3091,245,6101,5222,60008,876,249,1143
203,6540,3072,245,6067,4532,59890,1322,249,1220
204,6521,3073,245,6009,4124,59867,1508,248,1248
205,6487,3126,245,5904,3101,59860,1489,245,1280
204,6393,3337,245,5681,2767,59835,1221,247,1348
204,6351,3487,247,5646,2788,59804,712,254,1381
203,6267,3445,247,5512,2868,59771,235,255,1504
202,6505,3518,278,5857,4796,59949,39,255,1586
201,6523,3513,571,6322,6911,59994,0,258,1553
193,6532,3530,292,6466,6790,60001,0,262,1519
194,6286,3310,247,6061,4492,60101,0,264,1468
